name,start_month,start_day,end_month,end_day,year,peak_classification,wind_speed_mph,wind_speed_kmh,pressure_hPa,pressure_inHg,areas_affected,eastern_seaboard,gulf_coast,caribbean,central_america,deaths,damage,start_date,end_date,adj_factor,damage_inflation_adjusted,name_date,previous_storms,landfall
Isidore,September,14,September,27,2002,3,125,205,934,27.58,"Cuba, Yucatán Peninsula, Louisiana",0,TS,2,3,17,1300000000,2002-09-14,2002-09-27,1.42,1846000000,Isidore_2002-09-14,1984;1990;1996,yes;no;no
Lili,September,21,October,4,2002,4,145,230,938,27.7,"Windward Islands, Cuba, Jamaica, Haiti, Louisiana",0,3,2,0,15,1160000000,2002-09-21,2002-10-04,1.42,1647200000,Lili_2002-09-21,1984;1990;1996,yes;yes;yes
Fabian,August,25,September,8,2003,4,145,230,939,27.73,Bermuda,0,0,3,0,4,300000000,2003-08-25,2003-09-08,1.39,417000000,Fabian_2003-08-25,1985;1991;1997,no;yes;no
Isabel,September,6,September,20,2003,5,165,270,915,27.02,"Greater Antilles, Bahamas, Eastern United States, Ontario",2,0,0,0,50,5500000000,2003-09-06,2003-09-20,1.39,7645000000,Isabel_2003-09-06,1985,yes
Juan,September,24,September,29,2003,2,105,170,969,28.61,Atlantic Canada,2,0,0,0,5,200000000,2003-09-24,2003-09-29,1.39,278000000,Juan_2003-09-24,1985,yes
Charley,August,9,August,15,2004,4,150,240,941,27.79,"Jamaica, Cayman Islands, Cuba, Florida, The Carolinas",1,0,4,0,40,16900000000,2004-08-09,2004-08-15,1.35,22815000000,Charley_2004-08-09,1980;1986;1992;1998,no;yes;no;yes
Frances,August,24,September,10,2004,4,145,230,935,27.61,"The Caribbean, Eastern United States, Ontario",0,TS,4,0,50,9800000000,2004-08-24,2004-09-10,1.35,13230000000,Frances_2004-08-24,1961;1968;1976;1980;1986;1992;1998,yes;no;no;no;no;no;yes
Ivan,September,2,September,24,2004,5,165,270,910,26.87,"The Caribbean, Venezuela, United States Gulf Coast",0,3,5,0,124,26100000000,2004-09-02,2004-09-24,1.35,35235000000,Ivan_2004-09-02,1980;1998,no;no
Jeanne,September,13,September,28,2004,3,120,195,950,28.05,"The Caribbean, Eastern United States",TD,0,3,0,3035,7940000000,2004-09-13,2004-09-28,1.35,10719000000,Jeanne_2004-09-13,1980;1998,yes;no
Dennis,July,4,July,13,2005,4,150,240,930,27.46,"Greater Antilles, Southeastern United States",0,3,4,0,89,3980000000,2005-07-04,2005-07-13,1.31,5213800000,Dennis_2005-07-04,1981;1987;1993;1999,yes;no;no;yes
Katrina,August,23,August,30,2005,5,175,280,902,26.64,"Bahamas, United States Gulf Coast",0,4,2,0,1836,125000000000,2005-08-23,2005-08-30,1.31,163750000000,Katrina_2005-08-23,1981;1999,yes;yes
Rita,September,18,September,26,2005,5,180,290,895,26.43,"Cuba, United States Gulf Coast",0,3,2,0,62,18500000000,2005-09-18,2005-09-26,1.31,24235000000,Rita_2005-09-18,,
Stan,October,1,October,5,2005,1,80,130,977,28.85,"Mexico, Central America",0,0,0,1,1668,3960000000,2005-10-01,2005-10-05,1.31,5187600000,Stan_2005-10-01,,
Wilma,October,15,October,26,2005,5,185,295,882,26.05,"Greater Antilles, Central America, Yucatán Peninsula, Florida",0,0,3,4,23,27400000000,2005-10-15,2005-10-26,1.31,35894000000,Wilma_2005-10-15,,
Dean,August,13,August,23,2007,5,175,280,905,26.72,"The Caribbean, Central America",0,0,4,5,45,1780000000,2007-08-13,2007-08-23,1.23,2189400000,Dean_2007-08-13,1983;1989;1995;2001,yes;yes;yes;yes
Felix,August,31,September,5,2007,5,175,280,929,27.43,"Nicaragua, Honduras",0,0,2,5,130,720000000,2007-08-31,2007-09-05,1.23,885600000,Felix_2007-08-31,1989;1995;2001,yes;no;no
Noel,October,28,November,2,2007,1,80,130,980,28.94,"Greater Antilles, Eastern United States, Atlantic Canada",0,0,1,0,163,580000000,2007-10-28,2007-11-02,1.23,713400000,Noel_2007-10-28,1995;2001,no;no
Gustav,August,25,September,4,2008,4,155,250,941,27.79,"Greater Antilles, Cayman Islands, United States Gulf Coast",0,2,4,0,153,8310000000,2008-08-25,2008-09-04,1.18,9805800000,Gustav_2008-08-25,1984;1990;1996;2002,no;no;no;yes
Ike,September,1,September,14,2008,4,145,230,935,27.61,"Greater Antilles, Texas, Louisiana, Midwestern United States",0,2,4,0,195,38000000000,2008-09-01,2008-09-14,1.18,44840000000,Ike_2008-09-01,,
Paloma,November,5,November,10,2008,4,145,230,944,27.88,"Cayman Islands, Cuba",0,0,4,0,1,300000000,2008-11-05,2008-11-10,1.18,354000000,Paloma_2008-11-05,,
Igor,September,8,September,21,2010,4,155,250,924,27.29,"Bermuda, Newfoundland",1,0,1,0,4,200000000,2010-09-08,2010-09-21,1.17,234000000,Igor_2010-09-08,,
Tomas,October,29,November,7,2010,2,100,155,982,29,Caribbean,0,0,2,0,44,348000000,2010-10-29,2010-11-07,1.17,407160000,Tomas_2010-10-29,,
Irene,August,21,August,28,2011,3,120,195,942,27.82,"Caribbean, Bahamas, United States East Coast, Eastern Canada",1,0,3,0,58,14200000000,2011-08-21,2011-08-28,1.13,16046000000,Irene_2011-08-21,1959;1981;1999;2005,yes;no;yes;no
Sandy,October,22,October,29,2012,3,115,185,940,27.76,"Caribbean, Bahamas, United States East Coast, Eastern Canada",1,0,3,0,234,68700000000,2012-10-22,2012-10-29,1.11,76257000000,Sandy_2012-10-22,,
